id,query,product_title,product_description,median_relevance,relevance_variance,,
16030,cross strap backpack,NEW DESIGNER INSPIRED BLACK GOLD TRIM BACKPACK & STRAP FOR CROSS BODY SHOULDER,,4,0.8,,
16032,table runner,Greek Key Design Table Runner or Tablecloth Ivory Runner (16 in x 72 in),Add a classic touch to any table with these Greek key design runners and tablecloths. These embroidered 100-percent polyester covers are perfect for your next gathering of friends and family.,4,0.471,,
16035,plantronics corded headset,PLANTRONICS S11 CORDED HEADSET SYSTEM WITH MANUAL,,4,0,,
16040,dresses for women,Women's Stripe Ponte Fit and Flare Dress Merona,"Classic and versatile, the Merona Women’s Stripe Ponte Fit and Flare Dress is a welcomed addition to any woman’s wardrobe. This ponte di roma knit dress comes in 4 perfectly posh colors and is ready for its debut. With a fitted bodice and flare skirt, this dress is fun, sophisticated and perfect for work and play alike. To retain its beauty, machine wash on delicate and line dry.",4,0,,
16047,ipad 2 heavy duty case,Insten(r) 374635 2-Piece iPhone Case Bundle For Apple iPad 2/3/4; Apple iPod/iPhone,"Insten® 2-Piece iPhone case bundle compatible with Apple® iPad® 2/3/4 includes a light pink stand leather case and a white travel charger with sync cable.
Compatible with Apple iPad 2/3/4/(MFI-AP21CHAGTRAUSB01)/iPod/iPhone
Includes light pink stand case features smooth synthetic leather and heavy-duty stitching to ensure the long-life of iPad, features with auto-securing magnetic flap for the best combination of security and ease of use
Includes white travel charger with 3' sync cable charge and sync cell phone or MP3 device while on-the-go, foldable prongs, intelligent IC chip recognizes a fully charged battery and automatically switches
2 pieces per set
Insten® 2-Piece iPhone case bundle contains a travel charger that has an intelligent IC chip to recognize a fully charged battery. Bundle has a light pink stand leather case that features heavy duty stitching to ensure long life of your device",3,0.471,,
16052,dress shirts,Coogi Luxe Men's Light Purple Button-down Dress Shirt,"Crafted with the finest materials and unparalleled style, this shirt is the perfect solution for work attire or just a casual night out. This button-down shirt is made of extra soft and breathable cotton, with contemporary prints.",4,0.433,,
16059,cat grass,"Purina Cat Chow, Dry Cat Food, Indoor, 22 lb Bag",Purina Cat Chow Adult Cat Food is formulated to meet the nutritional levels established by the Association of American Feed Control Officials for maintenance of adult cats. This product contains 25 essential vitamins and minerals to help your cat maintain a healthy weight. The Purina indoor cat food also includes garden greens to provide a balanced diet.,2,1.095,,
16061,waffle maker,Kalorik Red Heart-shaped Waffle Maker,"The way to a person's heart is definitely through the stomach with this Kalorik waffle maker. Designed to make tasty heart-shaped waffles, this appliance is sure to make breakfast more interesting. Featuring a non-stick interior and a stunning red exterior, this stylish waffle maker is a must for the modern kitchen.",4,0,,
16069,rechargable batteries,Duracell Rechargeable AA Pre-Charged Household Batteries,"These Duracell Pre-Charged Household Batteries offer powerful, long-lasting and reusable power for all of your electronic items. They can be charged hundreds of times. They are also 50 percent longer lasting per charge. With an Ion Core you get more power in every battery. They come pre-charged, and are guaranteed to last for five years. In addition, thanks to the Duralock Power Preserve Technology, they'll hold a charge for up to one year when not in use. These powerful NiMH Household Batteries work in any NiMH charger.",4,0,,
16071,dr who lanyard,Doctor Who: The Complete Third Series (6 Discs) (Widescreen),"Genre: Sci-Fi & Fantasy
Run Time: 10 hr 52 min
Language: English
Subtitle Language: English
Picture Format: widescreen",1,0,,
16072,minecraft diamond sword,Philips Sonicare HX9332/05 Diamond Clean Electric Toothbrush,"Equipped with the most advanced technology to date, DiamondClean is the newest innovation from Philips Sonicare. DiamondClean provides the highest level of performance from a Sonicare power toothbrush to date, clinically proven to remove up to four times more plaque than a manual toothbrush in four weeks. It improves gum health in two weeks and is proven to whiten teeth in as little as one week. It features a slim, ergonomic handle with a stylish finish, and five cleaning modes to target specific areas, such as Gum Care and the unique Polish and White modes.
Clinical Proof",1,0,,
16077,bird seed feeder,Perky-Pet Mixed Seed Forest Green Lantern Wild Bird Feeder MGNCD00352,"ust fill the No/No Mixed Seed Forest Green Lantern Bird Feeder with up to 2.4 lbs. of mixed seed, place in your yard and watch as a variety of birds gather at the feeder. The No/No Mixed Seed Forest Green Lantern Wild Bird Feeder is easy-to-fill, has a durable all metal construction and its feeding area allows perching or clinging birds to eat easily. The large patented diamond mesh feeding area makes it easy for you to monitor seed levels. This allows more birds to feed at once and keeps the seed fresh longer. This feeder will draw chickadees, grosbeaks, cardinals, nuthatches, jays, woodpeckers, finches and a variety of other birds.

    Holds up to 2.4 lbs. of mixed seed
    Powder coated, all metal mesh construction
    Easy to clean
    Well ventilated feeder keeps seed fresh
    No assembly needed - just hang and fill
    Attracts both clinging and perching birds",4,0.471,,
16079,shaver panasonic,Panasonic Close Curves Women's Wet/dry Shaver,Panasonic's Close Curves Wet / Dry Ladies Shaver has a stylish pink design. Get a smooth close shave with this shaving system that uses three independently floating heads to follow the contours of your legs and under arms,4,0.471,,
16083,khaki pants,George - Big Men's Premium Pleat-Front Khaki Pants,These George men's premium Pleated front khaki pants are perfect for your wardrobe. Wear these comfortable pants to any event. Pair them with a tee for a casual day and dress them up with a button down and dress shoes. Pick from assorted colors.,4,0,,
16085,face cream,"Sweet DreamZ (2oz); Cream, Cruelty-free/No Animal Testing, Face, Natural",,4,0,,
16088,tv,Crosley Newport 60-Inch Low Profile TV Stand with Two 60-Inch Audio Piers,"Complete your entertainment space with the versatile Newport TV Stand and 2 Audio Piers. The classic cherry hand-rubbed, multi-step finish highlights the beauty of this media unit. The 2 audio piers have been designed to offer spacious storage for your media utilities. The raised panel doors open to give access to adjustable storage shelves. This TV stand with cord management system ensures tangle free arrangement of wires. It accommodates up to a 60"" flat panel TV. The solid hardwood and veneer construction of the stand pier makes it durable. The adjustable levelers at the base legs offer comfortable placement.",2,0.471,,
16091,car window sticker,"Boise State Broncos Official NCAA 3x4"" Car Window Cling Decal""","Show your team pride everywhere you go.
    3""x4"" Ultra Decals stick to multiple surfaces and are removable and reusable.
    These versatile clings can be used indoors or outdoors and will not leave a residue when removed.
    Made in the USA.",3,0.471,,
16092,rechargable batteries,Lenmar AA Rechargable Battery - Gray (PRO427),Lenmar AA Rechargable Battery - Gray (PRO427),4,0,,
16093,table clock,Howard Miller Westport Table Top Clock,"This traditional decorative clock has a vintage charm to it and is a lovely curio for any table top. Fixed in an rosewood chest, the clock is gimbaled to swivel to the angle of your choice and features a polished gold-tone bezel and felt interior lining. Quartz movement ensures the Westport Table Clock keeping reliable time. Table clock features solid hardwood case in rosewood finish Table clock features a gimbaled clock dial with swivel function and attractive gold tone bezel Convex glass crystal Felt interior lining Battery-operated quartz movement Specifications: Overall dimensions: 2.5""H x 3.75""W x 3.75""D",4,0,,
16095,cowboy boots,Laredo Miss Kate Womens Western Cowboy Boots,"Kickstart your western style with our timeless Laredo cowboy boots, featuring eye-catching multicolor inlays and overlays on the shaft.",4,0.471,,
16105,duffle bag,"Rockland 19 Duffle Bag - Pink Dot""","The Rockland 19 Duffle Bag in Pink Dot is a trendy way to travel and will complement your Rockland luggage collection. Its the perfect size for a carry-on flight bag and is made of a fashionable and durable 600-denier polyester that is sure to turn heads wherever you go. It features a u-top opening for easy packing and access, a roomy main compartment and 2 front zipper compartments for smaller items. There is also an adjustable ergonomic handle that makes it comfortable to carry. 19Lx10Wx11H.",4,0,,
16110,sweater dress,Ply Cashmere Women's Boat Neck Sweater Dress,"Layer up in the luxurious feel of cashmere when you pop on this sweater dress from Ply Cashmere. This cashmere dress features five button accents on each cuff and a cozy, relaxed fit.",4,0,,
16111,playstation vita system,Playstation TV Bundle with Dual Shock 3 and Lego Movie Digital Voucher,"PlayStation TV- A new, simple and fun way to enjoy a universe of PlayStation games and entertainment with the entire family.
Packed with a DUALSHOCK 3 controller, an 8GB memory card and two digital vouchers of the blockbuster hit The LEGO Movie Videogame and Sly Cooper Thieves in Time, the Limited Edition PlayStation TV bundle has all you need to join the exciting world of PlayStation.",2,0.471,,
16113,ice cream maker,Cuisinart ICE-21 Frozen Yogurt-Ice Cream -S orbet Maker - Ice-2,"Whatever your style, the Cuisinart Automatic Frozen Yogurt-Ice Cream and Sorbet Maker will help make a delicious frozen dessert to match it! Make fat-free sorbets, low-fat frozen yogurts, rich ice creams - up to 1-1/2 quarts - quick and easy!- New mixing paddle makes frozen desserts and drinks in 20 minutes- Double insulated freezer bowl eliminates the need for ice- Easy lock transparent lid with large spout makes adding ingredients simple and mess free- Fully automatic with large ingredient spout for adding ingredients- Dimensions: 10-8'' x 10-8'' x 15-8''- SKU: IMPR3852",4,0,,
16117,portable hard drive,"Toshiba Canvio Connect 1TB Portable External Hard Drive, Black","The Toshiba Connect 1TB Portable External Hard Drive lets you store your files in a compact and portable package, giving you easy access to your files whenever you need them. Designed to connect through a high-speed USB 3.0 interface, this drive lets you read and write files with incredible speed, so it can be used as an everyday expanded storage or backup for your computer. This black Toshiba portable external hard drive combines form and function in a pocket-sized and stylish external drive with incredible one-terabyte capacity. This Toshiba portable external hard drive is compatible with Windows XP, 7 or 8 as well as Apple Mac computers. Ensure the safe and efficient storage of all your important data and media files with this high-capacity Toshiba Canvio External Hard Drive.",4,0,,
16118,tote bag,Hablando Sola Do It For Me Tote Bag,"This stylish tote features double straps, a roomy interior with plenty of pockets, including slip, zip and flap pockets, to ensure you have all the spots to stow away your everday essentials.",4,0,,
16120,yankees,MLB Men's New York Yankees Team Tee,,4,0.49,,
16126,storage drawers,Seville Classics 5-piece Bamboo Drawer Organizer Boxes,"Keep your drawer organized with Seville Classics bamboo drawer organizer boxes. Made of eco-friendly and renewable bamboo, each box is designed to fit snugly together, or you can use them separately to help clear the clutter around the kitchen, bathroom, office or any drawer of any room of the home.",3,0.471,,
16130,barbie,Barbie Birthday Wishes Doll,The Barbie Birthday Wishes Doll is ready to help celebrate a birthday in style. She wears a pink gown that's just right for a special occasion. It is decorated in a cheerful floral print and belted with a ribbon sash with a flower accent. Her play pearl earrings complement her dress. This birthday doll has long blond hair and sparkling blue eyes. Barbie fans would appreciate receiving this unique fashion doll for a gift. It would also make a wonderful addition to a Barbie doll collection.,4,0,,
16132,zippo hand warmer,Zippo BLACK Refillable Deluxe Hand Warmer w/ Pouch 40285 40310,,4,0,,
16134,table clock,27À_À_ Mayan Inspired Iron Table Clock with Light Brown and Sage Green Aged Finish,"Taking inspirational from ancient Mayan architecture, this table clock features many intricate details

Clock has a light chestnut brown finish with a heavy sage green glaze over the top

Roman numeral display

Quartz movement

Dimensions: 27”H x 9”W x 9”D

Material(s): iron",4,0,,
16137,led christmas lights,Order Home Collection LED Branch Lights,Bring soft illumination and classic style to any area of your home with the Order Home Collection LED Branch.,2,0.471,,
16143,pressure cooker,Cuisinart CPC-600 1000W 6-Quart Electric Pressure Cooker Stainless Steel NEW,,4,0.471,,
16152,skechers womens shoes,Women's Skechers BOBS Earthwise Lil Empress Black,,4,0.943,,
16155,wreck it ralph,Wreck-It Ralph (2 Discs) (Blu-ray/DVD),,4,0,,
16156,cast iron skillet,"Lodge Logic 10-1/4 Cast Iron Skillet""","We are proud to carry on the legacy started by our great grandfather, Joseph Lodge, as the sole American manufacturer of cast iron cookware with the 10-1/4"" Lodge Logic Cast Iron Skillet. It is completely versatile and will go from the kitchen to the campfire with ease. The 10-1/4"" Skillet "" Lodge Logic Cast Iron Skillet will last for decades and continue to provide excellent performance year after year. Foundry-seasoned for a natural, easy-release surface that improves with each use. This must have kitchen tool is the perfect choice for searing, sauteing, simmering, braising, baking, roasting and frying.

The rugged cast iron construction heats slowly and evenly. Not only can you fry chicken and eggs, you can bake biscuits, cakes and breads! You will find it perfect for use at home on any cooking surface stovetop (electric, gas or induction!), on the grill or over the campfire. No other cookware has the same heat retention as cast iron. The "" Lodge Logic Cast Iron Skillet is proudly made in the USA since 1896! Now let's eat!",4,0,,
16171,oakley radar,"Oakley Radar Pitch Replacement Lens G30 Iridium, One Size","If you own the most technologically advanced piece of sports equipment on earth, be sure you get the most out of it. Oakley Radar® is engineered with an interchangeable lens design to let you adapt to any sport environment. Three unique lens shapes are available, so you can choose the amount of coverage that works best for your outdoor activity, and for the way Mother Nature sculptured your facial physique.

We offer a wide range of accessory lens sets including vented designs that offer cooling airflow, as well as the best polarized lenses under the sun. Oakley polarization technology uses a liquid infusion process to bond the polarizing filter at the molecular level. That’s how we eliminate the haze and distortion found with conventional technologies and achieve unbeatable glare-cutting performance.

Our durable Plutonite® lens material offers superior impact protection and filters out 100% of all UV rays. High Definition Optics® (HDO®) maximizes clarity with patented innovations like Polaric Ellipsoid�?geometry for precise, crystal clear vision at every angle of view.

Important Note: Use care when installing/removing accessory lenses. Scratched lenses can not be returned and are not covered under Oakley’s warranty policy.",4,0.471,,
16173,mens leather shirt,Men's Short-Sleeve Leather Polo Shirt - Daniel Won - Black (SMALL),,4,0.433,,
16176,blender,Vitamix Certified Reconditioned Program Blender - Platinum,"details
The Keurig Cappuccino Maker - R500 Rivo Single Serve Brewer has taken the single serve coffee maker concept to the next level. You're no longer limited to simple cups of coffee. With Rivo, you can create nearly any coffee drink quickly and easily in the comfort of your own home. Use the single cup espresso pods to brew your coffee, and then add froth to any type of milk just by pushing at button. Combine them for lattes, cappuccinos, and other coffee drinks, and they'll rival any coffeehouse concoction.
Cup Capacity: 2.5
Capacity (volume): 60.0 Oz.
Material: Plastic
Includes: Instruction Manual, Removable Water Reservoir
Battery: no battery used
Dimensions: 11.5 "" H x 10.75 "" W x 11.5 "" D
Product Weight: 17.0 Lb.",4,0,,
16183,fuji bike shirt,Asics 2014 Women's Fuji Light Running Top - W110564,"Conquer those trails in comfort and cutness with our eco-friendly ASICS Fuji Light Top. Bright, fun contrast colors and reflective elements keep you visible when darting around skilfully in the thicket, and your conscience and skin will enjoy the ultra lightweight Cocona Fabric, which uses the power of recycled coconut shells to keep sweat from sticking around too long. Isn't nature great?

    Cocona�?fabric (50+UPF/anti-odor), made from coconut shells
    Flatlock stitch construction enhances comfort
    Chafe-free mesh panels for breathability
    Raglan sleeves and low abrasion stitch construction enhances comfort
    2 holster stash pockets",3,0.8,,
16189,memory foam mattress topper,Dream Therapy 3-in. Twin Memory Foam Mattress Topper - 39 x 75,"The comfortable topper is available in twin, full, queen, king and California king sizes. Topper measures 3 inches thick Premium memory foam Density: 3 pounds Memory foam resistant to dust mites and naturally antimicrobial Temperature sensitive foam adjusts to body temperature so you stay warm Improves circulation while reducing pressure points that can disrupt your sleep Eliminates motion transfer Never needs turning Dis perses weight evenly Mattress can be used with an existing frame Meets all flammability standards Dimensions Twin: 39 inches wide x 75 inches long Full: 54 inches wide x 75 inches long Queen: 60 inches wide x 80 inches long King: 76 inches wide x 80 inches long California King: 72 inches wide x 84 inches long Memory Foam Tips: Remove from packaging within 72 hours of receipt to maximize memory foam expansion. Due to the nature of Memory Foam the firmness level of every item is unique. Please be advised that even similar products may produce different firmness results. Once opened this product is not returnable",4,0,,
16194,hallmark wedding couple figurine,Precious Moments Our Love Still Sparkles Figurine by Precious Moments,This figurine depicts a couple celebrating their 25th wedding anniversary. It stands 4.75 inches tall. Length: 3.94Height: 4.92Width: 2.36,4,0.471,,
16196,refrigirator,Sunpentown Double Door Refrigerator with Energy Star - Stainless Steel (3.1 cu.Ft),"This Sunpentown 3.1 cubic foot stainless steel double door refrigerator with its flush back and compact design is ideal for college dorm room or office. The reversible doors offer versatility. It also features separate freezer and fridge compartments, adjustable thermostat, and fresh food section. It has a slide-out wire shelf for storage versatility, a transparent vegetable storage drawer with glass shelf, and front leveling legs",4,0,,
16198,kitchen rugs,"Garland Rug Herald Square 2pc Kitchen Rug Slice and Mat, 18 x 28""""","The Garland Rug Herald Square Kitchen Rug Slice and Mat can be a fabulous accent piece in a home. With various color choices, you can pick one that can match or blend with your design. Give a home a timeless appeal with this polypropylene rug, two piece. They can withstand daily wear and tear and can be an ideal choice for a kitchen or a heavily-traveled spot in the house. They are easy to care for and with its non-skid backing, this 18"" x 28"" machine made rug is functional as well.",2,0.943,,
16200,cocoa butter,"Badger Cocoa Butter Lip Balm Stick, Sweet Orange, .25 oz","Our dreamy Cocoa Butter Lip Balms come in a larger .25oz stick with a magical Badger on the label! These creamy lip balms feature rich, Certified Organic and Fair Trade Certified�?Cocoa Butter, which has the sultry fragrance of dark chocolate.  Our Cocoa Butter is traditionally processed at low temperatures, allowing the butter to retain its natural, health-giving properties. Flavored with all natural steam distilled essential oils - no artificial sweeteners or fragrances.  We may be a little biased, but these are some of the best lip balms we've ever tried! (We think you'll probably agree.)",2,0.471,,
16202,yoga mat,Lotus Tree Print Yoga Mat,"Take your yoga, pilates and other floor exercises to the next degree of comfort with this Classic Yoga Mat. Three millimeters of cushioning provides a barrier between your body and hard surfaces for added comfort. The non-slip surface lets you stretch your each pose with complete comfort and stability. When you're finished with your workout, simply roll up your mat for easy transport and storage.",4,0,,
16209,wall clocks,Threshold Wall Clock with Arabic Numerals - Nickel,"Keep time in your home or office with this wall clock from Threshold. With its white face, black numbers and chrome surround, it has a clean, simple design that fits any décor. An integrated hanger makes installation a breeze.",3,0,,
16213,rain boot,Women's Laceup Purple Rain Boot,Get these Purple Women's Rain Boots to brighten up overcast days. The cute style and functionality make them a must-have. The laceup rain boots feature rubber uppers and TPR soles. They will keep your feet dry and comfortable with their padded footbeds and cotton lining.,4,0,,
16214,cocoa butter,"Palmer's Cocoa Butter Formula with Vitamin E Skin Therapy Oil, 5.1 fl oz","An advanced multi-purpose skin perfection product that can be used all over the body, including face. This preservative free, lightweight formula contains an exclusive blend of key ingredients for scars, stretch marks, dry damaged skin, uneven skin tone, aging skin and fine lines and wrinkles. Skin looks and feels instantly soft and smooth with this unique non-greasy, non-staining formula. Also ideal when used as a bath oil for a deep moisturizing treatment. Dermatologically tested Against animal testing Made in USA Beauty , Hand and Body , Moisturizing , Oils, Gels and Salves : Palmer's Cocoa Butter Formula Skin Therapy Oil With Vitamin E.",4,0.471,,
16215,zippo,Zippo Steel and Wood Pipe Lighter,"Experience the quality make of the Zippo Steel and Wood Pipe Lighter, and never be without a light. This product features a windproof design that allows it to work from virtually anywhere. The refillable Zippo classic lighter features a strong and sturdy design for long-lasting use.

Zippo Steel and Wood Pipe Lighter:
Classic high-polish chrome Zippo pipe lighter
Elegant dark wood grain and metal design
Stylish chrome lighter
Lifetime guarantee
Made in the USA",4,0,,
16220,baseball cleats,Nike 524641100 Air MVP Pro Metal Men's Baseball Cleats Size 10 1/2,"The Nike Air MVP Pro Metal Men's Baseball Cleat combines snug comfort with excellent support. Responsive cushioning delivers outstanding impact protection, while a nine-cleat pattern offers solid traction on the field.

Featured Technology
Nike Air More than 30 years ago, a revolutionary idea raised the standards in sneaker comfort: Use the lightest cushioning material there is-air. Nike Air units work by trapping air molecules inside a durable urethane shell. With each footstrike, the air unit compresses to reduce the force of impact, then immediately recovers its shape to be ready for the next landing.

Nike Air units are built to last, so the cushioning properties hold steady for the life of the shoe. A versatile, low-cut cleat that blends classic baseball DNA with modern design and detail for elite-level performance and style.",4,0,,
16221,kobo ereader,"Belkin MIXIT? Aux Cable - Mini-phone for iPad mini, iPad, iPhone, iPod, Tablet, Smartphone, MP3 Player, MacBook Air, Mac","Plug In, Play Anywhere
Flat, Tangle-Free Design
Connect your iPod or iPhone to your car stereo, home stereo, portable speakers, sound card or any device that has a 3.5mm jack. The flat cable design prevents tangles.

Part of the MIXIT? Collection
Mix it up with chargers, cables, audio and power accessories that come in a full line of hi-tech hues.",1,0,,
16232,flower bulbs,Tiffany-style 2-light Vintage-bronze Stained-glass Flush Mount,"Light from two bulbs is diffused by the colorful, floral stained glass shade of this gorgeous lighting fixture. Vintage bronze frames the 367 pieces of intricately cut glass for a retro chic look.",1,0,,
16233,aveeno shampoo,Aveeno Lightly Scented Wash & Baby Shampoo - 18 Fl Oz,"Cleans without drying because it's soap free and hypoallergenic. Can be used on skin and hair for gentle cleansing that rinses clean with a soft, fresh fragrance.

    Baby wash and shampoo
    18 fl oz
    Can be used every day
    Tear free",4,0.471,,
16235,ray ban sunglasses,Ray-Ban 3025 Gold Sunglasses,"These classic Ray-Ban 3025 Gold aviator sunglasses have a cool, casual vibe that transcends fashion. The thin, shiny gold metal frame is paired with large aviator lenses in a brown gradient tint. The adjustable nose pads ensure a great fit.",4,0,,
16238,routers,Linksys WRT54GL IEEE 802.11b/g Wireless Router,"Wireless Convenience
You've got the network - now enhance it with Wireless-G access up to 54 Mbps. Now it's easy to grow your network by adding computers, printers and other wireless devices, without stringing cables. Reliable connectivity allows you to move your laptops, or set up your devices all around your home or office. Or add Access Points to two separate networks and create ""cable-less cable"" connectivity between them.

Easy Configuration
Device and security configuration is a snap with the Browser-based configuration utility.",4,0,,
16245,yellow dress,FOREVER 21 Strapless Sweetheart Dress Yellow Medium,"An all-in-one ensemble that's sweet, chic, and perfect for everything from a first date to brunch with friends. Featuring an elegant sweetheart neckline, this strapless A-line dress is a timeless piece in any season.",4,0,,
16250,speck iphone 5 case,Speck Apple iPhone 6 CandyShell Grip Case,"bout this item
Turn all thumbs into thumbs up with this Speck Apple iPhone 6 CandyShell Grip Case. In addition to a hard shell exterior and a soft, rubbery interior to help absorb shock and guard against damage, it has raised rubber ridges and textured grips to make texting, gaming and taking pictures easy �?while giving a perfect hold. It has two layers of sleek, military-grade protection in a single piece. Rubberized covers shield buttons without impeding access. The raised bezel protects screen from impact and adds grip.",3,0.632,,
16252,thomas the train,Thomas & Friends: Mud Glorious Mud (DVD),"Thomas the Tank Engine, the adorable children's favorite and the Island of Sodor's beloved train, returns with his friends for these episodes of his long-running show. In this volume, Thomas and his fun-loving pals sludge through the mud on their way to adventure.",4,0.49,,
16254,light bulb,"Great Value LED Light Bulb 3W (15W Equivalent) Deco (E12), Soft White","LED's are the most current and advanced lighting technology and the most efficient light source available. They provide excellent light quality and lumen output. Their energy efficiency and long life make them a great value for consumers.

Great Value LED 15W Deco Light Bulb:
Saves up to 80 percent on energy costs
Lasts 25,000 hours
15W equivalent using only 3W of energy
LED light bulb
Non-dimmable LED
Soft white LED deco lamp
3-year limited warranty
Save up to 80% on energy costs
Lasts up to 25,000 hours (22 years)
Uses only 3 watts of energy
15 watt equivalent light output
Light output = 120 lumens
Base type: E12
Dimmable: No
Color Temperature: Daylight (5000K)
Color Rendering Index (CRI): 82
Energy savings over life of light bulb: $33.00",4,0,,
16255,bike for children,Tour De France Tie breaker 12,"Give your future cycling champion a head start with the Tour de France 12"" bike. Its great features and authentic Tour de France graphics make it a perfect starter bike for young riders.",4,0.471,,
16256,eye cream,Olay Age Defying Series Anti-Wrinkle Eye Cream 0.5 Oz,"Olay Age Defying Series Anti-Wrinkle Eye Cream 0.5 Oz is ideal for around your eyes. It's proven to reduce the appearance of fine lines and wrinkles, leaving the skin hydrated and looking smoother. This oil-free eye cream contains Vitamin B3, Pro-Retinol and Beta Hydroxy, a proven formula that works deep within the skin's surface to reduce the appearance of fine lines and wrinkles. The delicate skin around the eyes is the area where signs of aging are most likely to appear. Combat aging by using Olay eye cream, which contains Vitamin E to leave skin soft and smooth.",4,0.433,,
16257,storage drawers,"Staxonsteel Storage Drawers, Letter Size, 12 1/4wx10 1/2hx24d, Black, 6/Carton (Carton of 6)","StaxOnSteel Storage Drawer, Letter, Steel Frame, 14 x 25-1/2 x 11-1/8, BLK 6/Ctn Maximum StrengthBuilt for heavy daily usage and maximum stability Premier, space-saving stackability and accessibility for frequent file reference. Steel framework interlo...",4,0,,
16262,werewolf costume,Brown Werewolf Costume (Boy - Child Large),"Be a mythological creature lycan-none other in our Werewolf Costume! This costume features a tattered shirt, deluxe fur gloves/hands, quality mask with fangs! Simply add a raggedy pair of pants and you will complete your very own werewolf look! Just the costume you need for Halloween, school plays, character reenactments, parties, parades, family occasions and other holiday productions and festivities!",4,0,,
16267,bike lock,Schwinn Cable Bike Lock - 6 Feet,"Let Schwinn help keep your bike protected with the Schwinn 12mm Key Lock. This key lock is made of durable twisted steel cable covered by a weather resistant protective vinyl. While the self-coiling cable and bonus quick release carrying brackets allows you to take the lock with you on the ride and store it with ease. With a rubberized housing your bike will be as safe from scratches and from thieves.
Number of Pieces: 1
Accessory Fits Size: Fits most size frames
Material: Chromed Steel
Finish: Powder-coated
Care and Cleaning: Wipe Clean With a Damp Cloth
x 12.0 mm. W x 12.0 mm. L
Weight: 2.7 Lb.
Battery: no battery used
Assembly Details: no assembly required
other Info.
 Online Item #: 15178615
 Store Item Number (DPCI): 082-01-0887
 Item can be gift wrapped.
 Imported",4,0,,
16270,solar charger,Barska Portable Solar Charger Case with Speaker,,3,0.471,,
16272,wii,Disney Infinity Starter Kit (Wii U),"Take on the role of Sulley, the naturally gifted 'scarer'; become Captain Jack Sparrow, the sword-wielding pirate; or transform yourself into Mr. Incredible, one of the world's greatest crime fighters. The story never ends. The Starter Pack is just the beginning, with many more Disney and Disney/Pixar characters and worlds coming soon, giving you infinite ways to inspire your imagination!",3,1.166,,
16274,playstation 4,PS4 500GB Console Bundle with The Last of Us Remastered,,4,0,,
16279,white dress,Lipstik Little Girls 4 Designer White Blue Floral Sparkle Tank Dress,"The boutique designer Lipstik brings this cute dress for your little girl. This tank style dress features a floral and pink sequin trimmed top leading to a blue sparkle waistband. The soft floral skirt make this a sweet dress for any time of year. Fully lined, cute by itself with sandals or even a pair of cowgirl boots for that western look.",3,0.471,,
16282,eye cream,Lancome Renergie Eye Anti-Wrinkle & Firming Eye Cream 0.5oz New,,4,0,,
16288,bike for children,Polaris Edge LX200 20 Kids Bicycle,"The Polaris Edge 20 inch kid's bike features a unique steel frame with 20 inch pneumatic tires, linear pull brakes, kickstand and fenders. Any child will love this bike, with a great color design and snazzy fenders.",4,0,,
16289,hair accessories,"Hype Hair Bun Maker, 1 Each","Make the perfect updo with this easy to use bun maker.

Versatile styling options
Chignon frame",3,0.471,,
16290,plantronics corded headset,Plantronics - T10 Corded Headset Telephone - 1 - Business Phone,"Increase your productivity and comfort. Using a telephone and headset solution can increase your productivity by allowing you to handle other tasks while talking on the phone. Additionally, the use of a headset can reduce neck, upper back, and shoulder tension allowing for a more comfortable work environment. Experience the freedom, comfort and great sound quality of a Plantronics Headset Telephone Solution. Do more. Comfortably.",3,0.471,,
16295,gold dress,Guess Brown Masculine Retro Dress Chronograph Watch Men's,"Ensure your look is always classy with this handsome retro-style dress watch. Put a polish on your professional wardrobe with the Guess Masculine Retro Dress Chronograph Watch. Designed with a stylish rose goldtone steel case and a genuine brown textured leather strap, this watch always keeps you on time with its chronograph stop watch and date functions. Brown/Rose goldtone Case: 44mm Water-resistant: 100m Chronograph stop watch/date function Second hand Steel case Croco grain leather strap Manufacturer s 10-year limited warranty Imported",1,0,,
16296,glitter vials,"Martha Stewart Glitter and Glue Set, 3/Pkg",EK SUCCESS-Martha Stewart Glitter and Glue Set. Use these coordinated glitter colors with the included glue to make beautiful glittering designs on cards and other paper crafts! This package contains three 0.37 ounce vials of glitter and one 0.18 fl. ounce tube of glue.,4,0,,
16297,headphones earbuds,Panasonic Earbud Headphones,"In-ear headphones with single button remote and mic made for major mobile phones.
Manufacturer: Panasonic
Manufacturer Part Number: RP-TCM125-K
Manufacturer Website Address: http://www.panasonic.com
Brand Name: Panasonic
Product Model: RP-TCM125-K
Product Name: Earbud Headphones
Product Type: Earset
Connectivity Technology: Wired
Cable Length: 3.61 ft
Sound Mode: Stereo
Impedance: 16 Ohm
Minimum Frequency Response: 10 Hz
Maximum Frequency Response: 24 kHz
Connector Plating: Gold Plated
Features: In-line Remote
Earpiece Design: Earbud
Earpiece Type: Binaural
Driver Size: 0.35""
Microphone Design: On-cable
Host Interface: Mini-phone
Color: Black
Form Factor: In-ear
Weight (Approximate): 1.55 oz
Package Contents:
Earbud Headphones
S/M/L earpads",4,0,,
